"Institution","Year","Statistic Label","UNIT","VALUE"
"National University of Ireland, Maynooth","2010","Entrants to Third Level Courses","Number","1748"
"National University of Ireland, Maynooth","2011","Full-time Enrolments to Third Level Courses","Number","7140"
"National University of Ireland, Maynooth","2011","Part-time Enrolments to Third Level Courses","Number","1182"
"National University of Ireland, Maynooth","2011","Entrants to Third Level Courses","Number","1918"
"National University of Ireland, Maynooth","2012","Full-time Enrolments to Third Level Courses","Number","7412"
"National University of Ireland, Maynooth","2012","Part-time Enrolments to Third Level Courses","Number","2345"
"National University of Ireland, Maynooth","2012","Entrants to Third Level Courses","Number","1849"
"National University of Ireland, Maynooth","2013","Full-time Enrolments to Third Level Courses","Number","7582"
"National University of Ireland, Maynooth","2013","Part-time Enrolments to Third Level Courses","Number","1924"
"National University of Ireland, Maynooth","2013","Entrants to Third Level Courses","Number","1955"
"National University of Ireland, Maynooth","2014","Full-time Enrolments to Third Level Courses","Number","8127"
