"Institution","Year","Statistic Label","UNIT","VALUE"
"Limerick Institute of Technology","2000","Part-time Enrolments to Third Level Courses","Number","1495"
"Limerick Institute of Technology","2000","Entrants to Third Level Courses","Number","1185"
"Limerick Institute of Technology","2001","Full-time Enrolments to Third Level Courses","Number","3436"
"Limerick Institute of Technology","2001","Part-time Enrolments to Third Level Courses","Number","1755"
"Limerick Institute of Technology","2001","Entrants to Third Level Courses","Number","1074"
"Limerick Institute of Technology","2002","Full-time Enrolments to Third Level Courses","Number","3464"
"Limerick Institute of Technology","2002","Part-time Enrolments to Third Level Courses","Number","1136"
"Limerick Institute of Technology","2002","Entrants to Third Level Courses","Number","1035"
"Limerick Institute of Technology","2003","Full-time Enrolments to Third Level Courses","Number","3602"
"Limerick Institute of Technology","2003","Part-time Enrolments to Third Level Courses","Number","904"
"Limerick Institute of Technology","2003","Entrants to Third Level Courses","Number","1155"
"Limerick Institute of Technology","2004","Full-time Enrolments to Third Level Courses","Number","3639"
"Limerick Institute of Technology","2004","Part-time Enrolments to Third Level Courses","Number","794"
"Limerick Institute of Technology","2004","Entrants to Third Level Courses","Number","1214"
"Limerick Institute of Technology","2005","Full-time Enrolments to Third Level Courses","Number","3627"
"Limerick Institute of Technology","2005","Part-time Enrolments to Third Level Courses","Number","152"
"Limerick Institute of Technology","2005","Entrants to Third Level Courses","Number","1187"
"Limerick Institute of Technology","2006","Full-time Enrolments to Third Level Courses","Number","3855"
"Limerick Institute of Technology","2006","Part-time Enrolments to Third Level Courses","Number","370"
"Limerick Institute of Technology","2006","Entrants to Third Level Courses","Number","1359"
"Limerick Institute of Technology","2007","Full-time Enrolments to Third Level Courses","Number","3581"
"Limerick Institute of Technology","2007","Part-time Enrolments to Third Level Courses","Number",""
"Limerick Institute of Technology","2007","Entrants to Third Level Courses","Number","1072"
"Limerick Institute of Technology","2008","Full-time Enrolments to Third Level Courses","Number","3260"
"Limerick Institute of Technology","2008","Part-time Enrolments to Third Level Courses","Number","184"
"Limerick Institute of Technology","2008","Entrants to Third Level Courses","Number","943"
"Limerick Institute of Technology","2009","Full-time Enrolments to Third Level Courses","Number","3673"
"Limerick Institute of Technology","2009","Part-time Enrolments to Third Level Courses","Number","318"
"Limerick Institute of Technology","2009","Entrants to Third Level Courses","Number","1231"
"Limerick Institute of Technology","2010","Full-time Enrolments to Third Level Courses","Number","4042"
"Limerick Institute of Technology","2010","Part-time Enrolments to Third Level Courses","Number","767"
"Limerick Institute of Technology","2010","Entrants to Third Level Courses","Number","1335"
"Limerick Institute of Technology","2011","Full-time Enrolments to Third Level Courses","Number","4125"
"Limerick Institute of Technology","2011","Part-time Enrolments to Third Level Courses","Number","859"
"Limerick Institute of Technology","2011","Entrants to Third Level Courses","Number","1250"
"Limerick Institute of Technology","2012","Full-time Enrolments to Third Level Courses","Number","4724"
"Limerick Institute of Technology","2012","Part-time Enrolments to Third Level Courses","Number","871"
"Limerick Institute of Technology","2012","Entrants to Third Level Courses","Number","1334"
"Limerick Institute of Technology","2013","Full-time Enrolments to Third Level Courses","Number","4936"
"Limerick Institute of Technology","2013","Part-time Enrolments to Third Level Courses","Number","735"
"Limerick Institute of Technology","2013","Entrants to Third Level Courses","Number","1387"
"Limerick Institute of Technology","2014","Full-time Enrolments to Third Level Courses","Number","4969"
"Limerick Institute of Technology","2014","Part-time Enrolments to Third Level Courses","Number","921"
"Limerick Institute of Technology","2014","Entrants to Third Level Courses","Number","1489"
"Limerick Institute of Technology","2015","Full-time Enrolments to Third Level Courses","Number","5024"
"Limerick Institute of Technology","2015","Part-time Enrolments to Third Level Courses","Number","1051"
"Limerick Institute of Technology","2015","Entrants to Third Level Courses","Number","1543"
"Limerick Institute of Technology","2016","Full-time Enrolments to Third Level Courses","Number","5192"
"Limerick Institute of Technology","2016","Part-time Enrolments to Third Level Courses","Number","907"
"Limerick Institute of Technology","2016","Entrants to Third Level Courses","Number","1505"
"Limerick Institute of Technology","2017","Full-time Enrolments to Third Level Courses","Number","5003"
"Limerick Institute of Technology","2017","Part-time Enrolments to Third Level Courses","Number","929"
"Limerick Institute of Technology","2017","Entrants to Third Level Courses","Number","1470"
"Institute of Technology, Sligo","2000","Full-time Enrolments to Third Level Courses","Number","2959"
"Institute of Technology, Sligo","2000","Part-time Enrolments to Third Level Courses","Number","212"
"Institute of Technology, Sligo","2000","Entrants to Third Level Courses","Number","1113"
"Institute of Technology, Sligo","2001","Full-time Enrolments to Third Level Courses","Number","3017"
"Institute of Technology, Sligo","2001","Part-time Enrolments to Third Level Courses","Number","513"
"Institute of Technology, Sligo","2001","Entrants to Third Level Courses","Number","1019"
"Institute of Technology, Sligo","2002","Full-time Enrolments to Third Level Courses","Number","3310"
"Institute of Technology, Sligo","2002","Part-time Enrolments to Third Level Courses","Number","441"
"Institute of Technology, Sligo","2002","Entrants to Third Level Courses","Number","1077"
"Institute of Technology, Sligo","2003","Full-time Enrolments to Third Level Courses","Number","3441"
"Institute of Technology, Sligo","2003","Part-time Enrolments to Third Level Courses","Number","400"
"Institute of Technology, Sligo","2003","Entrants to Third Level Courses","Number","1165"
"Institute of Technology, Sligo","2004","Full-time Enrolments to Third Level Courses","Number","3340"
"Institute of Technology, Sligo","2004","Part-time Enrolments to Third Level Courses","Number","454"
"Institute of Technology, Sligo","2004","Entrants to Third Level Courses","Number","1030"
"Institute of Technology, Sligo","2005","Full-time Enrolments to Third Level Courses","Number","3472"
"Institute of Technology, Sligo","2005","Part-time Enrolments to Third Level Courses","Number","465"
"Institute of Technology, Sligo","2005","Entrants to Third Level Courses","Number","1197"
"Institute of Technology, Sligo","2006","Full-time Enrolments to Third Level Courses","Number","3706"
"Institute of Technology, Sligo","2006","Part-time Enrolments to Third Level Courses","Number","603"
"Institute of Technology, Sligo","2006","Entrants to Third Level Courses","Number","1146"
"Institute of Technology, Sligo","2007","Full-time Enrolments to Third Level Courses","Number","3604"
"Institute of Technology, Sligo","2007","Part-time Enrolments to Third Level Courses","Number",""
"Institute of Technology, Sligo","2007","Entrants to Third Level Courses","Number","1083"
"Institute of Technology, Sligo","2008","Full-time Enrolments to Third Level Courses","Number","3354"
"Institute of Technology, Sligo","2008","Part-time Enrolments to Third Level Courses","Number","1130"
"Institute of Technology, Sligo","2008","Entrants to Third Level Courses","Number","1018"
"Institute of Technology, Sligo","2009","Full-time Enrolments to Third Level Courses","Number","3438"
"Institute of Technology, Sligo","2009","Part-time Enrolments to Third Level Courses","Number","335"
"Institute of Technology, Sligo","2009","Entrants to Third Level Courses","Number","1196"
"Institute of Technology, Sligo","2010","Full-time Enrolments to Third Level Courses","Number","3754"
"Institute of Technology, Sligo","2010","Part-time Enrolments to Third Level Courses","Number","304"
"Institute of Technology, Sligo","2010","Entrants to Third Level Courses","Number","1199"
"Institute of Technology, Sligo","2011","Full-time Enrolments to Third Level Courses","Number","3855"
"Institute of Technology, Sligo","2011","Part-time Enrolments to Third Level Courses","Number","487"
"Institute of Technology, Sligo","2011","Entrants to Third Level Courses","Number","1203"
"Institute of Technology, Sligo","2012","Full-time Enrolments to Third Level Courses","Number","3783"
"Institute of Technology, Sligo","2012","Part-time Enrolments to Third Level Courses","Number","572"
"Institute of Technology, Sligo","2012","Entrants to Third Level Courses","Number","1138"
"Institute of Technology, Sligo","2013","Full-time Enrolments to Third Level Courses","Number","3804"
"Institute of Technology, Sligo","2013","Part-time Enrolments to Third Level Courses","Number","327"
"Institute of Technology, Sligo","2013","Entrants to Third Level Courses","Number","1229"
"Institute of Technology, Sligo","2014","Full-time Enrolments to Third Level Courses","Number","3823"
"Institute of Technology, Sligo","2014","Part-time Enrolments to Third Level Courses","Number","138"
"Institute of Technology, Sligo","2014","Entrants to Third Level Courses","Number","1112"
"Institute of Technology, Sligo","2015","Full-time Enrolments to Third Level Courses","Number","3822"
"Institute of Technology, Sligo","2015","Part-time Enrolments to Third Level Courses","Number","151"
"Institute of Technology, Sligo","2015","Entrants to Third Level Courses","Number","1037"
"Institute of Technology, Sligo","2016","Full-time Enrolments to Third Level Courses","Number","3742"
"Institute of Technology, Sligo","2016","Part-time Enrolments to Third Level Courses","Number","78"
"Institute of Technology, Sligo","2016","Entrants to Third Level Courses","Number","1116"
"Institute of Technology, Sligo","2017","Full-time Enrolments to Third Level Courses","Number","3630"
"Institute of Technology, Sligo","2017","Part-time Enrolments to Third Level Courses","Number","68"
"Institute of Technology, Sligo","2017","Entrants to Third Level Courses","Number","1044"
"Institute of Technology, Tallaght","2000","Full-time Enrolments to Third Level Courses","Number","2156"
"Institute of Technology, Tallaght","2000","Part-time Enrolments to Third Level Courses","Number","1565"
"Institute of Technology, Tallaght","2000","Entrants to Third Level Courses","Number","868"
"Institute of Technology, Tallaght","2001","Full-time Enrolments to Third Level Courses","Number","2465"
"Institute of Technology, Tallaght","2001","Part-time Enrolments to Third Level Courses","Number","1598"
"Institute of Technology, Tallaght","2001","Entrants to Third Level Courses","Number","940"
"Institute of Technology, Tallaght","2002","Full-time Enrolments to Third Level Courses","Number","2364"
"Institute of Technology, Tallaght","2002","Part-time Enrolments to Third Level Courses","Number","1563"
"Institute of Technology, Tallaght","2002","Entrants to Third Level Courses","Number","787"
"Institute of Technology, Tallaght","2003","Full-time Enrolments to Third Level Courses","Number","2297"
"Institute of Technology, Tallaght","2003","Part-time Enrolments to Third Level Courses","Number","1371"
"Institute of Technology, Tallaght","2003","Entrants to Third Level Courses","Number","882"
"Institute of Technology, Tallaght","2004","Full-time Enrolments to Third Level Courses","Number","2507"
"Institute of Technology, Tallaght","2004","Part-time Enrolments to Third Level Courses","Number","738"
"Institute of Technology, Tallaght","2004","Entrants to Third Level Courses","Number","904"
"Institute of Technology, Tallaght","2005","Full-time Enrolments to Third Level Courses","Number","2364"
"Institute of Technology, Tallaght","2005","Part-time Enrolments to Third Level Courses","Number","693"
"Institute of Technology, Tallaght","2005","Entrants to Third Level Courses","Number","678"
"Institute of Technology, Tallaght","2006","Full-time Enrolments to Third Level Courses","Number","2048"
"Institute of Technology, Tallaght","2006","Part-time Enrolments to Third Level Courses","Number","793"
"Institute of Technology, Tallaght","2006","Entrants to Third Level Courses","Number","642"
"Institute of Technology, Tallaght","2007","Full-time Enrolments to Third Level Courses","Number","2116"
"Institute of Technology, Tallaght","2007","Part-time Enrolments to Third Level Courses","Number",""
"Institute of Technology, Tallaght","2007","Entrants to Third Level Courses","Number","708"
"Institute of Technology, Tallaght","2008","Full-time Enrolments to Third Level Courses","Number","1899"
"Institute of Technology, Tallaght","2008","Part-time Enrolments to Third Level Courses","Number","1422"
"Institute of Technology, Tallaght","2008","Entrants to Third Level Courses","Number","605"
"Institute of Technology, Tallaght","2009","Full-time Enrolments to Third Level Courses","Number","2053"
"Institute of Technology, Tallaght","2009","Part-time Enrolments to Third Level Courses","Number","1492"
"Institute of Technology, Tallaght","2009","Entrants to Third Level Courses","Number","746"
"Institute of Technology, Tallaght","2010","Full-time Enrolments to Third Level Courses","Number","2420"
"Institute of Technology, Tallaght","2010","Part-time Enrolments to Third Level Courses","Number","1485"
"Institute of Technology, Tallaght","2010","Entrants to Third Level Courses","Number","916"
"Institute of Technology, Tallaght","2011","Full-time Enrolments to Third Level Courses","Number","2809"
"Institute of Technology, Tallaght","2011","Part-time Enrolments to Third Level Courses","Number","1329"
"Institute of Technology, Tallaght","2011","Entrants to Third Level Courses","Number","1014"
"Institute of Technology, Tallaght","2012","Full-time Enrolments to Third Level Courses","Number","2919"
"Institute of Technology, Tallaght","2012","Part-time Enrolments to Third Level Courses","Number","1119"
"Institute of Technology, Tallaght","2012","Entrants to Third Level Courses","Number","928"
"Institute of Technology, Tallaght","2013","Full-time Enrolments to Third Level Courses","Number","2977"
"Institute of Technology, Tallaght","2013","Part-time Enrolments to Third Level Courses","Number","1370"
"Institute of Technology, Tallaght","2013","Entrants to Third Level Courses","Number","814"
"Institute of Technology, Tallaght","2014","Full-time Enrolments to Third Level Courses","Number","2980"
"Institute of Technology, Tallaght","2014","Part-time Enrolments to Third Level Courses","Number","1741"
"Institute of Technology, Tallaght","2014","Entrants to Third Level Courses","Number","808"
"Institute of Technology, Tallaght","2015","Full-time Enrolments to Third Level Courses","Number","2884"
"Institute of Technology, Tallaght","2015","Part-time Enrolments to Third Level Courses","Number","2201"
"Institute of Technology, Tallaght","2015","Entrants to Third Level Courses","Number","807"
"Institute of Technology, Tallaght","2016","Full-time Enrolments to Third Level Courses","Number","2898"
"Institute of Technology, Tallaght","2016","Part-time Enrolments to Third Level Courses","Number","2122"
"Institute of Technology, Tallaght","2016","Entrants to Third Level Courses","Number","842"
"Institute of Technology, Tallaght","2017","Full-time Enrolments to Third Level Courses","Number","2832"
"Institute of Technology, Tallaght","2017","Part-time Enrolments to Third Level Courses","Number","2177"
"Institute of Technology, Tallaght","2017","Entrants to Third Level Courses","Number","804"
"Institute of Technology, Tralee","2000","Full-time Enrolments to Third Level Courses","Number","2229"
"Institute of Technology, Tralee","2000","Part-time Enrolments to Third Level Courses","Number","604"
"Institute of Technology, Tralee","2000","Entrants to Third Level Courses","Number","951"
"Institute of Technology, Tralee","2001","Full-time Enrolments to Third Level Courses","Number","2346"
"Institute of Technology, Tralee","2001","Part-time Enrolments to Third Level Courses","Number","257"
"Institute of Technology, Tralee","2001","Entrants to Third Level Courses","Number","1035"
"Institute of Technology, Tralee","2002","Full-time Enrolments to Third Level Courses","Number","2396"
"Institute of Technology, Tralee","2002","Part-time Enrolments to Third Level Courses","Number","515"
"Institute of Technology, Tralee","2002","Entrants to Third Level Courses","Number","988"
"Institute of Technology, Tralee","2003","Full-time Enrolments to Third Level Courses","Number","2422"
"Institute of Technology, Tralee","2003","Part-time Enrolments to Third Level Courses","Number","197"
"Institute of Technology, Tralee","2003","Entrants to Third Level Courses","Number","772"
"Institute of Technology, Tralee","2004","Full-time Enrolments to Third Level Courses","Number","2485"
"Institute of Technology, Tralee","2004","Part-time Enrolments to Third Level Courses","Number","205"
"Institute of Technology, Tralee","2004","Entrants to Third Level Courses","Number","813"
"Institute of Technology, Tralee","2005","Full-time Enrolments to Third Level Courses","Number","2477"
"Institute of Technology, Tralee","2005","Part-time Enrolments to Third Level Courses","Number","321"
"Institute of Technology, Tralee","2005","Entrants to Third Level Courses","Number","716"
"Institute of Technology, Tralee","2006","Full-time Enrolments to Third Level Courses","Number","2318"
"Institute of Technology, Tralee","2006","Part-time Enrolments to Third Level Courses","Number","231"
"Institute of Technology, Tralee","2006","Entrants to Third Level Courses","Number","675"
"Institute of Technology, Tralee","2007","Full-time Enrolments to Third Level Courses","Number","2337"
"Institute of Technology, Tralee","2007","Part-time Enrolments to Third Level Courses","Number",""
"Institute of Technology, Tralee","2007","Entrants to Third Level Courses","Number","642"
"Institute of Technology, Tralee","2008","Full-time Enrolments to Third Level Courses","Number","1891"
"Institute of Technology, Tralee","2008","Part-time Enrolments to Third Level Courses","Number","331"
"Institute of Technology, Tralee","2008","Entrants to Third Level Courses","Number","519"
"Institute of Technology, Tralee","2009","Full-time Enrolments to Third Level Courses","Number","2000"
"Institute of Technology, Tralee","2009","Part-time Enrolments to Third Level Courses","Number","405"
"Institute of Technology, Tralee","2009","Entrants to Third Level Courses","Number","621"
"Institute of Technology, Tralee","2010","Full-time Enrolments to Third Level Courses","Number","2262"
"Institute of Technology, Tralee","2010","Part-time Enrolments to Third Level Courses","Number","310"
"Institute of Technology, Tralee","2010","Entrants to Third Level Courses","Number","775"
"Institute of Technology, Tralee","2011","Full-time Enrolments to Third Level Courses","Number","2399"
"Institute of Technology, Tralee","2011","Part-time Enrolments to Third Level Courses","Number","312"
"Institute of Technology, Tralee","2011","Entrants to Third Level Courses","Number","832"
"Institute of Technology, Tralee","2012","Full-time Enrolments to Third Level Courses","Number","2534"
"Institute of Technology, Tralee","2012","Part-time Enrolments to Third Level Courses","Number","345"
"Institute of Technology, Tralee","2012","Entrants to Third Level Courses","Number","880"
"Institute of Technology, Tralee","2013","Full-time Enrolments to Third Level Courses","Number","2577"
"Institute of Technology, Tralee","2013","Part-time Enrolments to Third Level Courses","Number","316"
"Institute of Technology, Tralee","2013","Entrants to Third Level Courses","Number","865"
"Institute of Technology, Tralee","2014","Full-time Enrolments to Third Level Courses","Number","2537"
"Institute of Technology, Tralee","2014","Part-time Enrolments to Third Level Courses","Number","278"
"Institute of Technology, Tralee","2014","Entrants to Third Level Courses","Number","783"
"Institute of Technology, Tralee","2015","Full-time Enrolments to Third Level Courses","Number","2830"
"Institute of Technology, Tralee","2015","Part-time Enrolments to Third Level Courses","Number","172"
"Institute of Technology, Tralee","2015","Entrants to Third Level Courses","Number","833"
"Institute of Technology, Tralee","2016","Full-time Enrolments to Third Level Courses","Number","2652"
"Institute of Technology, Tralee","2016","Part-time Enrolments to Third Level Courses","Number","238"
"Institute of Technology, Tralee","2016","Entrants to Third Level Courses","Number","791"
"Institute of Technology, Tralee","2017","Full-time Enrolments to Third Level Courses","Number","2586"
"Institute of Technology, Tralee","2017","Part-time Enrolments to Third Level Courses","Number","252"
"Institute of Technology, Tralee","2017","Entrants to Third Level Courses","Number","752"
"Waterford Institute of Technology","2000","Full-time Enrolments to Third Level Courses","Number","5280"
"Waterford Institute of Technology","2000","Part-time Enrolments to Third Level Courses","Number","1351"
"Waterford Institute of Technology","2000","Entrants to Third Level Courses","Number","1869"
"Waterford Institute of Technology","2001","Full-time Enrolments to Third Level Courses","Number","5443"
"Waterford Institute of Technology","2001","Part-time Enrolments to Third Level Courses","Number","1400"
"Waterford Institute of Technology","2001","Entrants to Third Level Courses","Number","1918"
"Waterford Institute of Technology","2002","Full-time Enrolments to Third Level Courses","Number","5542"
"Waterford Institute of Technology","2002","Part-time Enrolments to Third Level Courses","Number","1252"
"Waterford Institute of Technology","2002","Entrants to Third Level Courses","Number","1766"
"Waterford Institute of Technology","2003","Full-time Enrolments to Third Level Courses","Number","5711"
"Waterford Institute of Technology","2003","Part-time Enrolments to Third Level Courses","Number","2430"
"Waterford Institute of Technology","2003","Entrants to Third Level Courses","Number","2042"
"Waterford Institute of Technology","2004","Full-time Enrolments to Third Level Courses","Number","6062"
"Waterford Institute of Technology","2004","Part-time Enrolments to Third Level Courses","Number","2460"
"Waterford Institute of Technology","2004","Entrants to Third Level Courses","Number","2020"
"Waterford Institute of Technology","2005","Full-time Enrolments to Third Level Courses","Number","5598"
"Waterford Institute of Technology","2005","Part-time Enrolments to Third Level Courses","Number","1511"
"Waterford Institute of Technology","2005","Entrants to Third Level Courses","Number","1819"
"Waterford Institute of Technology","2006","Full-time Enrolments to Third Level Courses","Number","5931"
"Waterford Institute of Technology","2006","Part-time Enrolments to Third Level Courses","Number","1145"
"Waterford Institute of Technology","2006","Entrants to Third Level Courses","Number","1880"
"Waterford Institute of Technology","2007","Full-time Enrolments to Third Level Courses","Number","6007"
"Waterford Institute of Technology","2007","Part-time Enrolments to Third Level Courses","Number",""
"Waterford Institute of Technology","2007","Entrants to Third Level Courses","Number","1842"
"Waterford Institute of Technology","2008","Full-time Enrolments to Third Level Courses","Number","6110"
"Waterford Institute of Technology","2008","Part-time Enrolments to Third Level Courses","Number","1353"
"Waterford Institute of Technology","2008","Entrants to Third Level Courses","Number","1738"
"Waterford Institute of Technology","2009","Full-time Enrolments to Third Level Courses","Number","6270"
"Waterford Institute of Technology","2009","Part-time Enrolments to Third Level Courses","Number","1602"
"Waterford Institute of Technology","2009","Entrants to Third Level Courses","Number","1822"
"Waterford Institute of Technology","2010","Full-time Enrolments to Third Level Courses","Number","6376"
"Waterford Institute of Technology","2010","Part-time Enrolments to Third Level Courses","Number","1367"
"Waterford Institute of Technology","2010","Entrants to Third Level Courses","Number","1846"
"Waterford Institute of Technology","2011","Full-time Enrolments to Third Level Courses","Number","6580"
"Waterford Institute of Technology","2011","Part-time Enrolments to Third Level Courses","Number","1494"
"Waterford Institute of Technology","2011","Entrants to Third Level Courses","Number","2013"
"Waterford Institute of Technology","2012","Full-time Enrolments to Third Level Courses","Number","6620"
"Waterford Institute of Technology","2012","Part-time Enrolments to Third Level Courses","Number","1323"
"Waterford Institute of Technology","2012","Entrants to Third Level Courses","Number","1944"
"Waterford Institute of Technology","2013","Full-time Enrolments to Third Level Courses","Number","6837"
"Waterford Institute of Technology","2013","Part-time Enrolments to Third Level Courses","Number","1403"
"Waterford Institute of Technology","2013","Entrants to Third Level Courses","Number","2045"
"Waterford Institute of Technology","2014","Full-time Enrolments to Third Level Courses","Number","6968"
"Waterford Institute of Technology","2014","Part-time Enrolments to Third Level Courses","Number","1232"
"Waterford Institute of Technology","2014","Entrants to Third Level Courses","Number","2009"
"Waterford Institute of Technology","2015","Full-time Enrolments to Third Level Courses","Number","6826"
"Waterford Institute of Technology","2015","Part-time Enrolments to Third Level Courses","Number","1154"
"Waterford Institute of Technology","2015","Entrants to Third Level Courses","Number","1844"
"Waterford Institute of Technology","2016","Full-time Enrolments to Third Level Courses","Number","6453"
"Waterford Institute of Technology","2016","Part-time Enrolments to Third Level Courses","Number","1339"
"Waterford Institute of Technology","2016","Entrants to Third Level Courses","Number","1906"
"Waterford Institute of Technology","2017","Full-time Enrolments to Third Level Courses","Number","6313"
"Waterford Institute of Technology","2017","Part-time Enrolments to Third Level Courses","Number","1237"
"Waterford Institute of Technology","2017","Entrants to Third Level Courses","Number","1784"
"Dun Laoghaire Institute of Art, Design and Technology","2000","Full-time Enrolments to Third Level Courses","Number","696"
"Dun Laoghaire Institute of Art, Design and Technology","2000","Part-time Enrolments to Third Level Courses","Number","46"
"Dun Laoghaire Institute of Art, Design and Technology","2000","Entrants to Third Level Courses","Number","341"
"Dun Laoghaire Institute of Art, Design and Technology","2001","Full-time Enrolments to Third Level Courses","Number","915"
"Dun Laoghaire Institute of Art, Design and Technology","2001","Part-time Enrolments to Third Level Courses","Number","52"
"Dun Laoghaire Institute of Art, Design and Technology","2001","Entrants to Third Level Courses","Number","424"
"Dun Laoghaire Institute of Art, Design and Technology","2002","Full-time Enrolments to Third Level Courses","Number","1120"
"Dun Laoghaire Institute of Art, Design and Technology","2002","Part-time Enrolments to Third Level Courses","Number","55"
"Dun Laoghaire Institute of Art, Design and Technology","2002","Entrants to Third Level Courses","Number","486"
"Dun Laoghaire Institute of Art, Design and Technology","2003","Full-time Enrolments to Third Level Courses","Number","1255"
"Dun Laoghaire Institute of Art, Design and Technology","2003","Part-time Enrolments to Third Level Courses","Number","53"
"Dun Laoghaire Institute of Art, Design and Technology","2003","Entrants to Third Level Courses","Number","476"
"Dun Laoghaire Institute of Art, Design and Technology","2004","Full-time Enrolments to Third Level Courses","Number","1355"
"Dun Laoghaire Institute of Art, Design and Technology","2004","Part-time Enrolments to Third Level Courses","Number","55"
"Dun Laoghaire Institute of Art, Design and Technology","2004","Entrants to Third Level Courses","Number","444"
"Dun Laoghaire Institute of Art, Design and Technology","2005","Full-time Enrolments to Third Level Courses","Number","1423"
"Dun Laoghaire Institute of Art, Design and Technology","2005","Part-time Enrolments to Third Level Courses","Number","71"
"Dun Laoghaire Institute of Art, Design and Technology","2005","Entrants to Third Level Courses","Number","418"
"Dun Laoghaire Institute of Art, Design and Technology","2006","Full-time Enrolments to Third Level Courses","Number","1471"
"Dun Laoghaire Institute of Art, Design and Technology","2006","Part-time Enrolments to Third Level Courses","Number","72"
"Dun Laoghaire Institute of Art, Design and Technology","2006","Entrants to Third Level Courses","Number","486"
"Dun Laoghaire Institute of Art, Design and Technology","2007","Full-time Enrolments to Third Level Courses","Number","1528"
"Dun Laoghaire Institute of Art, Design and Technology","2007","Part-time Enrolments to Third Level Courses","Number",""
"Dun Laoghaire Institute of Art, Design and Technology","2007","Entrants to Third Level Courses","Number","525"
"Dun Laoghaire Institute of Art, Design and Technology","2008","Full-time Enrolments to Third Level Courses","Number","1581"
"Dun Laoghaire Institute of Art, Design and Technology","2008","Part-time Enrolments to Third Level Courses","Number","106"
"Dun Laoghaire Institute of Art, Design and Technology","2008","Entrants to Third Level Courses","Number","509"
"Dun Laoghaire Institute of Art, Design and Technology","2009","Full-time Enrolments to Third Level Courses","Number","1724"
"Dun Laoghaire Institute of Art, Design and Technology","2009","Part-time Enrolments to Third Level Courses","Number","160"
"Dun Laoghaire Institute of Art, Design and Technology","2009","Entrants to Third Level Courses","Number","505"
"Dun Laoghaire Institute of Art, Design and Technology","2010","Full-time Enrolments to Third Level Courses","Number","1973"
"Dun Laoghaire Institute of Art, Design and Technology","2010","Part-time Enrolments to Third Level Courses","Number","209"
"Dun Laoghaire Institute of Art, Design and Technology","2010","Entrants to Third Level Courses","Number","666"
"Dun Laoghaire Institute of Art, Design and Technology","2011","Full-time Enrolments to Third Level Courses","Number","2057"
"Dun Laoghaire Institute of Art, Design and Technology","2011","Part-time Enrolments to Third Level Courses","Number","148"
"Dun Laoghaire Institute of Art, Design and Technology","2011","Entrants to Third Level Courses","Number","560"
"Dun Laoghaire Institute of Art, Design and Technology","2012","Full-time Enrolments to Third Level Courses","Number","2104"
"Dun Laoghaire Institute of Art, Design and Technology","2012","Part-time Enrolments to Third Level Courses","Number","159"
"Dun Laoghaire Institute of Art, Design and Technology","2012","Entrants to Third Level Courses","Number","569"
"Dun Laoghaire Institute of Art, Design and Technology","2013","Full-time Enrolments to Third Level Courses","Number","2143"
"Dun Laoghaire Institute of Art, Design and Technology","2013","Part-time Enrolments to Third Level Courses","Number","118"
"Dun Laoghaire Institute of Art, Design and Technology","2013","Entrants to Third Level Courses","Number","550"
"Dun Laoghaire Institute of Art, Design and Technology","2014","Full-time Enrolments to Third Level Courses","Number","2082"
"Dun Laoghaire Institute of Art, Design and Technology","2014","Part-time Enrolments to Third Level Courses","Number","161"
"Dun Laoghaire Institute of Art, Design and Technology","2014","Entrants to Third Level Courses","Number","529"
"Dun Laoghaire Institute of Art, Design and Technology","2015","Full-time Enrolments to Third Level Courses","Number","2034"
"Dun Laoghaire Institute of Art, Design and Technology","2015","Part-time Enrolments to Third Level Courses","Number","183"
"Dun Laoghaire Institute of Art, Design and Technology","2015","Entrants to Third Level Courses","Number","521"
"Dun Laoghaire Institute of Art, Design and Technology","2016","Full-time Enrolments to Third Level Courses","Number","2016"
"Dun Laoghaire Institute of Art, Design and Technology","2016","Part-time Enrolments to Third Level Courses","Number","249"
"Dun Laoghaire Institute of Art, Design and Technology","2016","Entrants to Third Level Courses","Number","560"
"Dun Laoghaire Institute of Art, Design and Technology","2017","Full-time Enrolments to Third Level Courses","Number","2059"
"Dun Laoghaire Institute of Art, Design and Technology","2017","Part-time Enrolments to Third Level Courses","Number","253"
"Dun Laoghaire Institute of Art, Design and Technology","2017","Entrants to Third Level Courses","Number","543"
"Institute of Technology, Blanchardstown","2000","Full-time Enrolments to Third Level Courses","Number","223"
"Institute of Technology, Blanchardstown","2000","Part-time Enrolments to Third Level Courses","Number","81"
"Institute of Technology, Blanchardstown","2000","Entrants to Third Level Courses","Number","221"
"Institute of Technology, Blanchardstown","2001","Full-time Enrolments to Third Level Courses","Number","478"
"Institute of Technology, Blanchardstown","2001","Part-time Enrolments to Third Level Courses","Number","156"
"Institute of Technology, Blanchardstown","2001","Entrants to Third Level Courses","Number","288"
"Institute of Technology, Blanchardstown","2002","Full-time Enrolments to Third Level Courses","Number","626"
"Institute of Technology, Blanchardstown","2002","Part-time Enrolments to Third Level Courses","Number","324"
"Institute of Technology, Blanchardstown","2002","Entrants to Third Level Courses","Number","262"
"Institute of Technology, Blanchardstown","2003","Full-time Enrolments to Third Level Courses","Number","856"
"Institute of Technology, Blanchardstown","2003","Part-time Enrolments to Third Level Courses","Number","297"
"Institute of Technology, Blanchardstown","2003","Entrants to Third Level Courses","Number","367"
"Institute of Technology, Blanchardstown","2004","Full-time Enrolments to Third Level Courses","Number","1027"
